id,date,symbol,type,entry,entry_time,exit,exit_time,exit_reason,qty,position_value,gross_pnl,charges,net_pnl,capital_after
1,2019-10-11,360ONE,SHORT,294.25,1030,290.00,1515,TIME_EXIT,100,29425,425.00,26.16,398.84,200399
2,2019-11-25,360ONE,LONG,316.30,1015,319.60,1515,TIME_EXIT,100,31630,330.00,28.51,301.49,200700
3,2019-12-10,360ONE,SHORT,286.95,1030,280.07,1500,TARGET,100,28695,688.39,25.37,663.02,201363
4,2019-12-19,360ONE,SHORT,281.65,1015,277.85,1030,TARGET,100,28165,380.29,25.05,355.24,201719
5,2020-01-09,360ONE,LONG,281.55,1000,285.26,1045,TARGET,100,28155,371.38,25.42,345.96,202065
6,2020-02-13,360ONE,LONG,399.75,1030,401.25,1515,TIME_EXIT,100,39975,150.00,35.90,114.10,202179
7,2020-03-12,360ONE,SHORT,312.50,1030,299.56,1130,TARGET,100,31250,1293.85,27.36,1266.49,203445
8,2020-07-22,360ONE,LONG,243.25,1030,246.94,1230,TARGET,150,36488,552.94,32.98,519.96,203965
9,2020-08-17,360ONE,SHORT,268.00,1015,267.50,1515,TIME_EXIT,150,40200,75.00,35.99,39.01,204004
10,2021-02-22,360ONE,SHORT,291.85,1015,295.53,1515,STOP_LOSS,100,29185,-367.57,26.34,-393.91,203610
11,2021-03-01,360ONE,SHORT,295.00,1030,289.00,1515,TIME_EXIT,100,29500,600.00,26.14,573.86,204184
12,2021-09-17,360ONE,SHORT,412.85,1015,407.22,1130,TARGET,50,20642,281.56,18.36,263.20,204447
13,2022-01-03,360ONE,LONG,358.20,1030,361.58,1245,TARGET,100,35820,338.44,32.27,306.17,204753
14,2022-02-15,360ONE,SHORT,383.75,1000,394.85,1430,STOP_LOSS,100,38375,-1110.36,34.95,-1145.31,203608
15,2022-03-07,360ONE,LONG,373.90,1000,369.65,1515,TIME_EXIT,100,37390,-425.00,33.30,-458.30,203150
16,2022-05-20,360ONE,SHORT,390.70,1015,387.50,1515,TIME_EXIT,100,39070,320.00,34.85,285.15,203435
17,2022-06-16,360ONE,SHORT,344.20,1030,352.90,1200,STOP_LOSS,100,34420,-869.84,31.28,-901.12,202534
18,2022-07-19,360ONE,LONG,402.00,1030,398.86,1315,STOP_LOSS,100,40200,-313.69,35.87,-349.56,202184
19,2022-11-07,360ONE,SHORT,455.95,1015,461.40,1500,STOP_LOSS,50,22798,-272.72,20.57,-293.29,201891
20,2022-12-13,360ONE,LONG,451.45,1015,456.63,1115,TARGET,50,22572,259.06,20.36,238.70,202130
21,2023-07-05,360ONE,SHORT,478.00,1030,473.34,1445,TARGET,50,23900,232.78,21.30,211.48,202341
22,2023-07-21,360ONE,SHORT,516.60,1030,517.95,1515,TIME_EXIT,50,25830,-67.50,23.18,-90.68,202251
23,2023-12-12,360ONE,SHORT,632.85,1030,640.56,1145,STOP_LOSS,50,31642,-385.38,28.55,-413.93,201837
24,2024-02-27,360ONE,SHORT,751.00,1030,746.90,1515,TIME_EXIT,50,37550,205.00,33.55,171.45,202008
25,2024-05-31,360ONE,SHORT,772.75,1015,785.46,1115,STOP_LOSS,50,38638,-635.33,34.94,-670.27,201338
26,2017-09-21,ABCAPITAL,SHORT,192.55,1015,195.34,1500,STOP_LOSS,200,38510,-558.64,34.79,-593.44,200744
27,2018-02-09,ABCAPITAL,LONG,168.80,1000,171.14,1015,TARGET,200,33760,468.65,30.49,438.16,201182
28,2018-05-25,ABCAPITAL,LONG,142.95,1000,143.20,1515,TIME_EXIT,250,35738,62.50,32.06,30.44,201213
29,2018-05-29,ABCAPITAL,LONG,149.80,1015,149.15,1515,TIME_EXIT,250,37450,-162.50,33.48,-195.98,201017
30,2019-01-23,ABCAPITAL,SHORT,90.25,1030,89.47,1300,TARGET,400,36100,312.26,32.20,280.06,201297
31,2019-02-01,ABCAPITAL,SHORT,79.70,1030,80.47,1100,STOP_LOSS,500,39850,-383.40,35.91,-419.31,200878
32,2019-08-20,ABCAPITAL,SHORT,89.00,1015,89.50,1515,TIME_EXIT,450,40050,-225.00,36.00,-261.00,200617
33,2019-08-21,ABCAPITAL,LONG,92.70,1015,91.00,1145,STOP_LOSS,400,37080,-680.54,32.89,-713.43,199903
34,2019-08-23,ABCAPITAL,LONG,88.10,1000,86.50,1515,TIME_EXIT,450,39645,-720.00,35.17,-755.17,199148
35,2019-09-18,ABCAPITAL,SHORT,91.05,1030,90.80,1515,TIME_EXIT,400,36420,100.00,32.59,67.41,199216
36,2019-10-01,ABCAPITAL,SHORT,81.25,1015,79.63,1315,TARGET,450,36562,730.64,32.40,698.24,199914
37,2019-11-05,ABCAPITAL,LONG,84.60,1030,85.45,1515,TIME_EXIT,450,38070,382.50,34.31,348.19,200262
38,2019-11-21,ABCAPITAL,LONG,90.80,1015,92.87,1100,TARGET,400,36320,827.03,32.96,794.07,201056
39,2020-02-01,ABCAPITAL,LONG,101.60,1015,99.89,1315,STOP_LOSS,350,35560,-597.81,31.57,-629.38,200427
40,2020-02-11,ABCAPITAL,LONG,96.20,1015,94.78,1415,STOP_LOSS,400,38480,-566.64,34.20,-600.84,199826
41,2020-02-20,ABCAPITAL,LONG,91.60,1030,90.27,1430,STOP_LOSS,400,36640,-530.72,32.57,-563.29,199262
42,2020-03-24,ABCAPITAL,SHORT,38.70,1015,40.56,1115,STOP_LOSS,1000,38700,-1858.22,35.61,-1893.84,197369
43,2020-04-23,ABCAPITAL,LONG,51.20,1030,50.21,1330,STOP_LOSS,750,38400,-745.95,34.04,-779.99,196589
44,2020-04-27,ABCAPITAL,LONG,49.25,1030,50.60,1100,TARGET,750,36938,1014.43,33.61,980.82,197569
45,2020-06-11,ABCAPITAL,LONG,57.55,1030,55.88,1330,STOP_LOSS,650,37408,-1087.56,32.98,-1120.54,196449
46,2020-06-22,ABCAPITAL,LONG,58.65,1030,57.15,1500,STOP_LOSS,650,38122,-973.66,33.68,-1007.34,195442
