date,symbol,direction,entry,exit,qty,pnl,charges,net_pnl,capital_after,exit_reason
2019-11-06,360ONE,LONG,326.25,319.25,100,-700.00,28.89,-728.89,199271,CROSSOVER
2019-11-13,360ONE,SHORT,303.00,310.25,100,-725.00,27.52,-752.52,198519,CROSSOVER
2020-01-27,360ONE,SHORT,325.70,329.95,100,-425.00,29.40,-454.40,198064,CROSSOVER
2020-01-27,360ONE,SHORT,327.25,326.25,100,100.00,29.28,70.72,198135,TIME
2020-01-30,360ONE,LONG,325.75,325.50,100,-25.00,29.18,-54.18,198081,CROSSOVER
2020-01-31,360ONE,LONG,334.50,332.50,100,-200.00,29.88,-229.88,197851,TIME
2020-03-24,360ONE,LONG,212.50,215.20,50,135.00,9.59,125.41,197976,TIME
2020-04-23,360ONE,LONG,228.75,232.50,150,562.50,31.03,531.47,198508,TIME
2020-04-28,360ONE,LONG,230.50,224.50,100,-600.00,20.36,-620.36,197887,CROSSOVER
2020-05-29,360ONE,LONG,213.30,212.80,150,-75.00,28.64,-103.64,197784,CROSSOVER
2020-06-09,360ONE,SHORT,250.00,250.75,150,-112.50,33.66,-146.16,197638,TIME
2020-06-24,360ONE,LONG,263.90,249.40,50,-725.00,11.46,-736.46,196901,CROSSOVER
2020-06-25,360ONE,LONG,264.95,297.45,100,3249.95,25.37,3224.58,200126,TARGET
2020-07-14,360ONE,SHORT,234.55,235.00,150,-67.50,31.56,-99.06,200027,TIME
2020-07-30,360ONE,LONG,248.10,250.00,150,285.00,33.49,251.51,200278,TIME
2020-08-07,360ONE,LONG,262.15,256.20,150,-892.50,34.79,-927.29,199351,CROSSOVER
2020-08-12,360ONE,LONG,280.00,270.80,100,-920.00,24.63,-944.63,198406,CROSSOVER
2020-08-17,360ONE,LONG,273.20,267.45,100,-575.00,24.20,-599.20,197807,CROSSOVER
2020-11-23,360ONE,LONG,249.60,248.45,150,-172.50,33.47,-205.97,197601,CROSSOVER
2020-11-24,360ONE,LONG,248.70,246.75,150,-292.50,33.29,-325.79,197275,CROSSOVER
2021-01-19,360ONE,LONG,267.45,264.70,100,-275.00,23.83,-298.83,196976,CROSSOVER
2021-02-24,360ONE,LONG,296.20,284.82,100,-1138.12,25.98,-1164.10,195812,STOP_LOSS
2021-03-05,360ONE,LONG,303.90,296.55,100,-735.00,26.87,-761.87,195050,CROSSOVER
2021-03-12,360ONE,LONG,301.30,298.75,100,-255.00,26.87,-281.87,194769,CROSSOVER
2021-03-17,360ONE,LONG,300.00,294.95,100,-505.00,26.63,-531.63,194237,CROSSOVER
2021-04-05,360ONE,LONG,326.00,331.25,100,525.00,29.48,495.52,194732,TIME
2021-04-13,360ONE,SHORT,292.50,299.49,100,-699.00,26.56,-725.56,194007,STOP_LOSS
2021-05-21,360ONE,LONG,280.50,281.00,100,50.00,25.16,24.84,194032,TIME
2021-06-10,360ONE,LONG,293.00,291.15,100,-185.00,26.17,-211.17,193821,TIME
2021-08-13,360ONE,LONG,397.20,390.45,50,-337.50,17.63,-355.13,193465,CROSSOVER
2021-08-17,360ONE,LONG,390.75,398.00,50,362.50,17.69,344.81,193810,TIME
2021-08-30,360ONE,LONG,379.45,388.65,100,920.00,34.47,885.53,194696,TIME
2021-09-16,360ONE,SHORT,413.75,416.50,50,-137.50,18.61,-156.11,194540,CROSSOVER
2021-09-17,360ONE,SHORT,412.85,415.30,50,-122.50,18.56,-141.06,194399,CROSSOVER
2021-10-07,360ONE,LONG,396.75,395.25,50,-75.00,17.74,-92.74,194306,CROSSOVER
2021-10-21,360ONE,LONG,427.00,445.00,50,900.00,19.58,880.42,195186,TIME
2021-11-23,360ONE,SHORT,375.90,381.10,100,-520.00,33.95,-553.95,194632,TIME
2021-11-26,360ONE,LONG,385.10,385.50,100,40.00,34.53,5.47,194638,TIME
2021-11-29,360ONE,SHORT,368.50,360.50,50,400.00,16.31,383.69,195022,TIME
2021-12-16,360ONE,SHORT,368.10,390.39,50,-1114.61,17.05,-1131.66,193890,STOP_LOSS
2022-01-03,360ONE,LONG,359.10,362.50,100,340.00,32.35,307.65,194197,TIME
2022-01-06,360ONE,LONG,383.05,378.10,100,-495.00,34.08,-529.08,193668,CROSSOVER
2022-01-11,360ONE,LONG,397.00,392.50,50,-225.00,17.68,-242.68,193426,TIME
2022-02-03,360ONE,LONG,414.55,411.25,50,-165.00,18.49,-183.49,193242,TIME
2022-02-28,360ONE,SHORT,368.90,375.10,100,-620.00,33.37,-653.37,192589,CROSSOVER
2022-03-07,360ONE,SHORT,364.80,373.90,100,-910.00,33.15,-943.15,191646,CROSSOVER
2022-03-25,360ONE,LONG,414.50,418.75,50,212.50,18.68,193.82,191840,TIME
2022-04-06,360ONE,LONG,429.80,434.60,50,240.00,19.38,220.62,192060,TIME
2022-05-19,360ONE,SHORT,381.45,394.95,50,-675.00,17.43,-692.43,191368,CROSSOVER
2022-05-24,360ONE,SHORT,390.60,370.41,50,1009.35,17.00,992.35,192360,TARGET
2022-06-10,360ONE,SHORT,376.50,379.20,100,-270.00,33.88,-303.88,192056,CROSSOVER
2022-06-30,360ONE,LONG,364.40,371.25,100,685.00,33.00,652.00,192708,TIME
2022-07-20,360ONE,LONG,407.40,409.20,50,90.00,18.30,71.70,192780,CROSSOVER
2022-09-05,360ONE,LONG,421.45,412.55,50,-445.00,18.66,-463.66,192316,TIME
2022-09-13,360ONE,LONG,440.00,431.25,50,-437.50,19.50,-457.00,191859,CROSSOVER
2022-09-16,360ONE,LONG,449.15,451.30,50,107.50,20.18,87.32,191947,TIME
2022-09-21,360ONE,SHORT,467.50,475.55,50,-402.50,21.15,-423.65,191523,CROSSOVER
2022-10-11,360ONE,LONG,453.30,445.75,50,-377.50,20.12,-397.62,191125,TIME
2022-10-14,360ONE,LONG,450.90,451.25,50,17.50,20.21,-2.71,191123,TIME
2022-10-31,360ONE,SHORT,445.50,455.65,50,-507.50,20.22,-527.72,190595,CROSSOVER
2022-11-30,360ONE,LONG,473.45,459.84,50,-680.54,20.87,-701.41,189893,STOP_LOSS
2022-12-13,360ONE,LONG,449.25,469.66,50,1020.63,20.64,999.98,190893,TARGET
2022-12-21,360ONE,LONG,455.80,447.05,50,-437.50,20.21,-457.71,190436,CROSSOVER
2023-01-12,360ONE,LONG,450.95,445.75,50,-260.00,20.08,-280.08,190156,CROSSOVER
2023-01-30,360ONE,SHORT,457.25,460.00,50,-137.50,20.56,-158.06,189998,TIME
2023-02-03,360ONE,LONG,476.75,475.00,50,-87.50,21.32,-108.82,189889,TIME
2023-02-14,360ONE,LONG,466.75,458.94,50,-390.31,20.72,-411.03,189478,STOP_LOSS
2023-02-20,360ONE,LONG,463.75,458.75,50,-250.00,20.66,-270.66,189207,CROSSOVER
2023-03-09,360ONE,SHORT,442.00,444.75,50,-137.50,19.87,-157.37,189050,CROSSOVER
2023-04-26,360ONE,SHORT,409.80,411.80,50,-100.00,18.41,-118.41,188931,CROSSOVER
2023-05-03,360ONE,SHORT,416.85,415.90,50,47.50,18.66,28.84,188960,TIME
2023-08-04,360ONE,LONG,507.80,508.65,50,42.50,22.78,19.72,188980,TIME
2023-08-07,360ONE,SHORT,501.20,500.90,50,15.00,22.45,-7.45,188972,TIME
2023-08-08,360ONE,LONG,505.00,505.00,50,0.00,22.63,-22.63,188950,TIME
2023-09-04,360ONE,LONG,500.55,503.00,50,122.50,22.49,100.01,189050,TIME
2023-09-15,360ONE,LONG,548.05,534.65,50,-670.00,24.22,-694.22,188356,CROSSOVER
2023-10-11,360ONE,LONG,518.65,516.60,50,-102.50,23.19,-125.69,188230,CROSSOVER
2023-10-13,360ONE,LONG,521.05,536.00,50,747.50,23.72,723.78,188954,TIME
2023-10-31,360ONE,LONG,522.85,525.00,50,107.50,23.48,84.02,189038,TIME
2023-11-03,360ONE,SHORT,533.20,532.95,50,12.50,23.89,-11.39,189026,TIME
2023-11-22,360ONE,SHORT,541.20,539.35,50,92.50,24.20,68.30,189095,TIME
2024-01-23,360ONE,SHORT,631.00,610.62,50,1019.00,27.76,991.24,190086,TARGET
2024-02-29,360ONE,LONG,729.40,707.99,50,-1070.39,32.15,-1102.54,188983,STOP_LOSS
2024-03-11,360ONE,LONG,696.70,707.10,50,520.00,31.48,488.52,189472,TIME
2024-06-05,360ONE,SHORT,726.55,754.80,50,-1412.50,33.26,-1445.76,188026,CROSSOVER
2020-05-26,ABB,LONG,745.65,734.05,50,-580.00,33.12,-613.12,187413,CROSSOVER
2017-09-19,ABCAPITAL,LONG,203.45,201.00,150,-367.50,27.17,-394.67,187018,CROSSOVER
2017-09-29,ABCAPITAL,LONG,181.75,184.90,200,630.00,32.89,597.11,187615,TIME
2017-10-03,ABCAPITAL,SHORT,183.75,185.90,200,-430.00,33.15,-463.15,187152,CROSSOVER
2017-11-15,ABCAPITAL,LONG,193.40,190.85,150,-382.50,25.81,-408.31,186744,CROSSOVER
2017-11-16,ABCAPITAL,LONG,193.50,199.40,150,885.00,26.45,858.55,187602,TIME
2017-11-20,ABCAPITAL,LONG,199.70,205.00,150,795.00,27.24,767.76,188370,TIME
2018-01-09,ABCAPITAL,LONG,185.85,184.50,200,-270.00,33.18,-303.18,188067,CROSSOVER
2018-02-01,ABCAPITAL,LONG,172.40,170.70,200,-340.00,30.73,-370.73,187696,CROSSOVER
2018-02-07,ABCAPITAL,LONG,163.00,163.70,200,140.00,29.29,110.71,187807,TIME
2018-02-09,ABCAPITAL,SHORT,166.45,170.25,200,-759.40,30.21,-789.61,187017,STOP_LOSS
2018-03-08,ABCAPITAL,LONG,156.50,154.00,200,-500.00,27.80,-527.80,186490,CROSSOVER
2018-04-06,ABCAPITAL,LONG,155.65,157.15,200,300.00,28.05,271.95,186762,TIME
2018-04-16,ABCAPITAL,LONG,159.90,158.70,200,-240.00,28.54,-268.54,186493,CROSSOVER
2018-05-30,ABCAPITAL,LONG,150.15,148.95,200,-240.00,26.79,-266.79,186226,CROSSOVER
2018-06-08,ABCAPITAL,SHORT,140.25,140.65,250,-100.00,31.47,-131.47,186095,CROSSOVER
2018-07-11,ABCAPITAL,LONG,132.15,130.75,250,-350.00,29.43,-379.43,185715,CROSSOVER
2018-07-26,ABCAPITAL,LONG,141.75,143.55,250,450.00,31.98,418.02,186133,TIME
2018-08-10,ABCAPITAL,LONG,151.25,149.65,200,-320.00,26.95,-346.95,185786,CROSSOVER
2018-09-14,ABCAPITAL,LONG,132.45,133.30,250,212.50,29.78,182.72,185969,TIME
2018-09-21,ABCAPITAL,LONG,129.00,125.97,250,-758.25,28.52,-786.77,185182,STOP_LOSS
2018-10-01,ABCAPITAL,SHORT,111.85,110.50,300,405.00,29.87,375.13,185557,CROSSOVER
2018-10-10,ABCAPITAL,LONG,107.00,110.50,300,1050.00,29.29,1020.71,186578,TIME
2018-10-12,ABCAPITAL,LONG,109.00,107.45,300,-465.00,29.07,-494.07,186084,CROSSOVER
2018-10-17,ABCAPITAL,SHORT,107.95,104.35,300,1080.00,28.48,1051.52,187136,TIME
2018-11-30,ABCAPITAL,SHORT,104.30,105.00,350,-245.00,32.84,-277.84,186858,CROSSOVER
2018-12-11,ABCAPITAL,LONG,96.60,98.50,350,665.00,30.63,634.37,187492,TIME
2019-01-07,ABCAPITAL,LONG,99.00,98.00,350,-350.00,30.88,-380.88,187111,CROSSOVER
2019-03-26,ABCAPITAL,LONG,101.40,100.10,350,-455.00,31.58,-486.58,186625,CROSSOVER
2019-04-23,ABCAPITAL,LONG,99.85,99.10,350,-262.50,31.19,-293.69,186331,CROSSOVER
2019-05-14,ABCAPITAL,SHORT,94.35,94.45,350,-35.00,29.61,-64.61,186266,CROSSOVER
2019-08-02,ABCAPITAL,SHORT,81.40,82.35,450,-427.50,33.04,-460.54,185806,CROSSOVER
2019-08-07,ABCAPITAL,LONG,88.10,87.20,400,-360.00,31.40,-391.40,185414,CROSSOVER
2019-09-06,ABCAPITAL,LONG,92.40,92.65,400,100.00,33.17,66.83,185481,TIME
2019-09-20,ABCAPITAL,LONG,90.65,96.33,400,2273.00,33.63,2239.37,187721,TARGET
2019-09-25,ABCAPITAL,LONG,92.40,92.40,400,0.00,33.12,-33.12,187688,TIME
2019-11-04,ABCAPITAL,LONG,85.90,83.15,400,-1100.00,30.24,-1130.24,186557,CROSSOVER
2019-11-08,ABCAPITAL,LONG,86.90,86.85,400,-20.00,31.14,-51.14,186506,TIME
2019-12-06,ABCAPITAL,LONG,107.25,105.47,300,-534.00,28.57,-562.57,185944,STOP_LOSS
2019-12-11,ABCAPITAL,LONG,95.70,95.90,200,40.00,17.17,22.83,185966,TIME
2019-12-26,ABCAPITAL,LONG,97.40,97.85,350,157.50,30.63,126.87,186093,TIME
2020-01-30,ABCAPITAL,SHORT,101.70,99.95,350,612.50,31.59,580.91,186674,TIME
2020-02-11,ABCAPITAL,LONG,95.00,94.50,350,-175.00,29.71,-204.71,186469,CROSSOVER
2020-03-06,ABCAPITAL,SHORT,73.95,74.20,350,-87.50,23.24,-110.74,186359,TIME
2020-04-13,ABCAPITAL,SHORT,45.65,46.40,650,-487.50,26.84,-514.34,185844,TIME
2020-04-16,ABCAPITAL,LONG,50.05,53.25,550,1760.00,25.55,1734.45,187579,TIME
2020-04-27,ABCAPITAL,LONG,49.35,48.70,650,-422.50,28.54,-451.04,187128,CROSSOVER
2020-04-30,ABCAPITAL,LONG,50.70,50.30,700,-280.00,31.67,-311.67,186816,CROSSOVER
2020-05-18,ABCAPITAL,SHORT,43.00,41.90,850,935.00,32.29,902.71,187719,TIME
2020-06-04,ABCAPITAL,LONG,54.40,53.55,650,-552.50,31.41,-583.91,187135,CROSSOVER
2020-07-15,ABCAPITAL,LONG,59.05,58.25,600,-480.00,31.51,-511.51,186623,CROSSOVER
2020-07-29,ABCAPITAL,LONG,57.35,56.85,650,-325.00,33.24,-358.24,186265,CROSSOVER
2020-08-12,ABCAPITAL,LONG,59.75,59.55,600,-120.00,32.07,-152.07,186113,CROSSOVER
2020-08-28,ABCAPITAL,LONG,65.10,64.85,550,-137.50,32.02,-169.52,185944,CROSSOVER
2020-09-10,ABCAPITAL,LONG,71.10,70.35,500,-375.00,31.67,-406.67,185537,CROSSOVER
2020-09-14,ABCAPITAL,LONG,72.30,70.85,500,-725.00,32.03,-757.03,184780,CROSSOVER
2020-09-18,ABCAPITAL,SHORT,70.50,70.25,500,125.00,31.53,93.47,184873,TIME
2020-09-23,ABCAPITAL,LONG,64.60,63.55,550,-577.50,31.55,-609.05,184264,CROSSOVER
2020-10-08,ABCAPITAL,LONG,63.30,63.70,550,220.00,31.31,188.69,184453,TIME
2020-10-19,ABCAPITAL,LONG,61.00,60.15,600,-510.00,32.55,-542.55,183910,CROSSOVER
2020-10-23,ABCAPITAL,SHORT,65.50,67.08,550,-871.06,32.72,-903.78,183007,STOP_LOSS
2020-11-13,ABCAPITAL,LONG,74.75,77.05,450,1035.00,30.66,1004.34,184011,TIME
2020-12-10,ABCAPITAL,SHORT,94.30,93.85,350,157.50,29.50,128.00,184139,TIME
