date,symbol,direction,entry,exit,qty,pnl,charges,net_pnl,capital_after,exit_reason
2019-09-23,360ONE,LONG,350.20,367.70,100,1750.00,32.26,1717.74,201718,EOD
2019-09-24,360ONE,LONG,367.70,367.70,100,0.00,32.95,-32.95,201685,TIME
2019-09-25,360ONE,SHORT,352.50,356.24,100,-374.42,31.78,-406.20,201279,STOP_LOSS
2019-09-25,360ONE,SHORT,353.75,349.46,100,429.46,31.49,397.97,201677,TARGET
2019-09-26,360ONE,LONG,349.25,348.81,100,-44.10,31.28,-75.38,201601,STOP_LOSS
2019-09-27,360ONE,SHORT,323.75,328.62,100,-486.99,29.26,-516.25,201085,STOP_LOSS
2019-09-30,360ONE,SHORT,325.00,320.83,100,416.60,28.92,387.68,201473,TARGET
2019-09-30,360ONE,SHORT,319.90,312.58,100,731.56,28.30,703.26,202176,TARGET
2019-10-01,360ONE,SHORT,294.30,298.98,100,-468.49,26.61,-495.10,201681,STOP_LOSS
2019-10-03,360ONE,LONG,311.20,307.56,100,-364.29,27.71,-392.00,201289,STOP_LOSS
2019-10-03,360ONE,LONG,317.50,312.65,100,-484.93,28.21,-513.15,200776,STOP_LOSS
2019-10-04,360ONE,LONG,314.10,318.81,100,470.51,28.38,442.13,201218,TARGET
2019-10-04,360ONE,LONG,318.70,321.00,100,230.00,28.68,201.32,201419,TIME
2019-10-07,360ONE,SHORT,319.45,318.13,100,131.60,28.56,103.04,201522,TARGET
2019-10-07,360ONE,SHORT,316.30,319.86,100,-355.64,28.52,-384.16,201138,STOP_LOSS
2019-10-09,360ONE,SHORT,315.00,318.73,100,-372.96,28.42,-401.38,200737,STOP_LOSS
2019-10-09,360ONE,SHORT,316.25,311.18,100,507.40,28.09,479.31,201216,TARGET
2019-10-10,360ONE,SHORT,308.30,305.63,100,266.94,27.50,239.45,201455,TARGET
2019-10-10,360ONE,SHORT,307.50,303.97,100,353.08,27.38,325.70,201781,TARGET
2019-10-11,360ONE,SHORT,295.00,288.46,100,654.07,26.11,627.96,202409,TARGET
2019-10-14,360ONE,SHORT,281.25,283.84,100,-259.20,25.34,-284.54,202124,STOP_LOSS
2019-10-14,360ONE,SHORT,281.40,283.99,100,-259.29,25.35,-284.64,201840,STOP_LOSS
2019-10-15,360ONE,SHORT,275.05,275.52,100,-47.38,24.67,-72.05,201768,STOP_LOSS
2019-10-15,360ONE,SHORT,275.25,275.78,100,-53.21,24.69,-77.90,201690,STOP_LOSS
2019-10-16,360ONE,LONG,289.75,286.50,100,-325.00,25.80,-350.80,201339,TIME
2019-10-17,360ONE,SHORT,287.45,289.84,100,-239.02,25.88,-264.90,201074,STOP_LOSS
2019-10-17,360ONE,LONG,290.25,294.93,100,467.99,26.25,441.74,201516,TARGET
2019-10-18,360ONE,LONG,297.60,297.99,100,39.31,26.69,12.62,201529,TARGET
2019-10-18,360ONE,LONG,298.40,297.26,100,-113.98,26.69,-140.66,201388,STOP_LOSS
2019-10-22,360ONE,LONG,297.15,293.83,100,-332.06,26.46,-358.52,201029,STOP_LOSS
2019-10-22,360ONE,SHORT,293.35,297.09,100,-373.78,26.48,-400.26,200629,STOP_LOSS
2019-10-23,360ONE,LONG,298.35,300.50,100,215.45,26.85,188.61,200818,TARGET
2019-10-23,360ONE,LONG,303.80,300.45,100,-334.80,27.06,-361.85,200456,STOP_LOSS
2019-10-24,360ONE,LONG,306.60,305.85,100,-75.28,27.44,-102.71,200353,STOP_LOSS
2019-10-24,360ONE,SHORT,302.50,300.75,100,175.00,27.02,147.98,200501,TIME
2019-10-25,360ONE,LONG,315.00,315.25,100,25.00,28.24,-3.24,200498,TIME
2019-10-29,360ONE,LONG,324.50,323.75,100,-75.00,29.04,-104.04,200394,TIME
2019-10-30,360ONE,LONG,328.00,325.77,100,-223.15,29.28,-252.43,200141,STOP_LOSS
2019-10-30,360ONE,LONG,326.80,325.99,100,-81.05,29.25,-110.30,200031,STOP_LOSS
2019-10-31,360ONE,LONG,330.75,331.75,100,100.00,29.69,70.31,200101,TIME
2019-11-01,360ONE,LONG,331.20,333.36,100,216.40,29.79,186.61,200288,TARGET
2019-11-01,360ONE,LONG,333.50,330.55,100,-294.55,29.74,-324.29,199964,STOP_LOSS
2019-11-04,360ONE,LONG,335.00,335.41,100,40.63,30.04,10.59,199974,TARGET
2019-11-04,360ONE,LONG,335.45,336.54,100,109.39,30.12,79.27,200054,TARGET
2019-11-05,360ONE,SHORT,324.50,320.78,100,372.23,28.89,343.33,200397,TARGET
2019-11-05,360ONE,SHORT,321.00,324.06,100,-305.68,28.92,-334.60,200062,STOP_LOSS
2019-11-06,360ONE,LONG,327.45,325.20,100,-224.66,29.23,-253.89,199808,STOP_LOSS
2019-11-06,360ONE,SHORT,321.65,322.50,100,-85.00,28.87,-113.87,199695,TIME
2019-11-07,360ONE,SHORT,320.30,321.53,100,-122.77,28.77,-151.54,199543,STOP_LOSS
2019-11-07,360ONE,LONG,321.50,320.14,100,-135.51,28.74,-164.25,199379,STOP_LOSS
2019-11-08,360ONE,SHORT,307.15,309.64,100,-248.74,27.65,-276.39,199102,STOP_LOSS
2019-11-08,360ONE,SHORT,308.75,309.48,100,-72.89,27.71,-100.60,199002,STOP_LOSS
2019-11-11,360ONE,SHORT,310.00,312.65,100,-264.80,27.91,-292.72,198709,STOP_LOSS
2019-11-11,360ONE,SHORT,310.50,312.75,100,-225.08,27.94,-253.02,198456,STOP_LOSS
2019-11-13,360ONE,SHORT,303.00,306.61,100,-360.57,27.33,-387.90,198068,STOP_LOSS
2019-11-13,360ONE,SHORT,305.40,306.11,100,-70.71,27.40,-98.11,197970,STOP_LOSS
2019-11-14,360ONE,SHORT,307.50,306.59,100,91.21,27.51,63.70,198034,TARGET
2019-11-14,360ONE,SHORT,305.95,307.27,100,-131.97,27.48,-159.45,197874,STOP_LOSS
2019-11-15,360ONE,LONG,309.50,307.41,100,-208.57,27.63,-236.20,197638,STOP_LOSS
2019-11-15,360ONE,SHORT,305.55,308.52,100,-297.05,27.53,-324.58,197313,STOP_LOSS
2019-11-18,360ONE,SHORT,305.95,305.54,100,41.33,27.40,13.93,197327,TARGET
2019-11-18,360ONE,SHORT,304.75,306.16,100,-141.30,27.38,-168.68,197159,STOP_LOSS
2019-11-20,360ONE,LONG,309.90,310.05,100,14.80,27.78,-12.98,197146,TARGET
2019-11-20,360ONE,LONG,310.00,310.34,100,33.88,27.80,6.08,197152,TARGET
2019-11-21,360ONE,SHORT,306.65,309.17,100,-252.37,27.61,-279.98,196872,STOP_LOSS
2019-11-21,360ONE,LONG,312.50,309.99,100,-250.79,27.88,-278.67,196593,STOP_LOSS
2019-11-22,360ONE,LONG,314.00,312.86,100,-114.36,28.08,-142.45,196451,STOP_LOSS
2019-11-22,360ONE,LONG,313.30,312.53,100,-76.84,28.04,-104.88,196346,STOP_LOSS
2019-11-25,360ONE,LONG,314.75,319.60,100,485.00,28.45,456.55,196802,TIME
2019-11-26,360ONE,LONG,327.50,325.63,100,-187.20,29.26,-216.46,196586,STOP_LOSS
2019-11-26,360ONE,LONG,327.75,326.14,100,-161.31,29.29,-190.60,196395,STOP_LOSS
2019-11-27,360ONE,LONG,327.50,324.87,100,-262.74,29.22,-291.96,196103,STOP_LOSS
2019-11-27,360ONE,LONG,325.65,324.92,100,-73.17,29.15,-102.32,196001,STOP_LOSS
2019-11-28,360ONE,SHORT,323.15,323.86,100,-70.66,29.00,-99.66,195901,STOP_LOSS
2019-11-28,360ONE,LONG,328.00,336.47,100,847.30,29.82,817.48,196719,TARGET
2019-11-29,360ONE,LONG,331.60,330.44,100,-115.90,29.66,-145.56,196573,STOP_LOSS
2019-11-29,360ONE,SHORT,327.80,330.00,100,-220.00,29.49,-249.49,196324,TIME
2019-12-02,360ONE,SHORT,324.05,321.00,100,305.00,28.89,276.11,196600,TIME
2019-12-03,360ONE,SHORT,315.60,316.34,100,-73.71,28.32,-102.03,196498,STOP_LOSS
2019-12-03,360ONE,SHORT,315.80,316.92,100,-111.60,28.36,-139.96,196358,STOP_LOSS
2019-12-04,360ONE,SHORT,316.65,319.26,100,-261.05,28.51,-289.56,196068,STOP_LOSS
2019-12-04,360ONE,LONG,320.00,317.11,100,-288.58,28.53,-317.12,195751,STOP_LOSS
2019-12-05,360ONE,SHORT,313.75,309.02,100,473.03,27.88,445.15,196196,TARGET
2019-12-06,360ONE,SHORT,310.25,304.04,100,620.93,27.49,593.43,196790,TARGET
2019-12-06,360ONE,SHORT,307.10,303.20,100,390.19,27.33,362.86,197153,TARGET
2019-12-09,360ONE,SHORT,304.80,299.86,100,493.99,27.07,466.93,197620,TARGET
2019-12-09,360ONE,SHORT,297.50,299.85,100,-234.87,26.78,-261.65,197358,STOP_LOSS
2019-12-10,360ONE,SHORT,294.05,287.76,100,629.30,26.04,603.26,197961,TARGET
2019-12-10,360ONE,SHORT,286.95,280.25,100,670.00,25.38,644.62,198606,TIME
2019-12-11,360ONE,SHORT,282.50,285.52,100,-301.85,25.47,-327.32,198279,STOP_LOSS
2019-12-11,360ONE,SHORT,281.50,280.75,100,75.00,25.19,49.81,198328,TIME
2019-12-12,360ONE,LONG,292.40,289.73,100,-266.58,26.07,-292.65,198036,STOP_LOSS
2019-12-12,360ONE,LONG,292.60,289.66,100,-293.73,26.08,-319.80,197716,STOP_LOSS
2019-12-13,360ONE,LONG,290.00,287.84,100,-215.94,25.88,-241.82,197474,STOP_LOSS
2019-12-13,360ONE,SHORT,287.95,283.33,100,462.15,25.57,436.57,197911,TARGET
2019-12-16,360ONE,SHORT,279.40,275.63,100,377.20,24.85,352.35,198263,TARGET
2019-12-16,360ONE,SHORT,276.25,279.71,100,-345.93,24.93,-370.86,197892,STOP_LOSS
2019-12-17,360ONE,LONG,287.00,282.44,100,-455.61,25.49,-481.10,197411,STOP_LOSS
2019-12-18,360ONE,LONG,287.50,286.36,100,-113.91,25.71,-139.62,197271,STOP_LOSS
2019-12-18,360ONE,LONG,286.35,286.35,100,0.30,25.66,-25.36,197246,TARGET
2019-12-19,360ONE,SHORT,283.00,281.08,100,191.88,25.27,166.61,197413,TARGET
2019-12-19,360ONE,SHORT,281.25,281.19,100,6.17,25.20,-19.03,197394,TARGET
